rank,name,symbol,price,1h_change,24h_change,7d_change,market_cap,volume_24h
120,Akash,NetworkAKT,2.66,0.026099999999999998,0.0381,0.030600000000000002,661275060.0,7592400.0
121,MorphoMORPHO,MorphoMORPHO,3.03,0.0163,0.0274,0.0955,656634653.0,44783957.0
122,HeliumHNT,HeliumHNT,3.67,0.0126,0.061200000000000004,0.1928,649265375.0,11633684.0
123,eCashXEC,eCashXEC,3.239e-05,0.0053,0.044800000000000006,0.0079,641802023.0,29347203.0
124,CompoundCOMP,CompoundCOMP,72.09,0.0086,0.04019999999999999,0.0933,639395585.0,42178297.0
125,RoninRON,RoninRON,1.6,0.0006,0.011200000000000002,0.0199,628274299.0,18117363.0
126,EigenLayerEIGEN,EigenLayerEIGEN,2.62,0.014199999999999999,0.0705,0.019,616498228.0,66350297.0
127,WormholeW,WormholeW,0.2172,0.0184,0.0429,0.031,616090214.0,30411882.0
127,15.08%5.65%,15.08%5.65%,405.0,,,,0.4406,
128,PendlePENDLE,PendlePENDLE,3.59,0.0275,0.0358,0.0022,591195968.0,80270229.0
129,MinaMINA,MinaMINA,0.4794,0.014199999999999999,0.0218,0.0418,580428659.0,24207629.0
130,PancakeSwapCAKE,PancakeSwapCAKE,1.99,0.0068000000000000005,0.06269999999999999,0.0691,576191857.0,44732801.0
131,GnosisGNO,GnosisGNO,220.57,0.0072,0.0263,0.0415,570688284.0,6540442.0
132,PAX,GoldPAXG,2757.23,0.0002,0.0036,0.026600000000000002,560222798.0,10070112.0
133,ZKsyncZK,ZKsyncZK,0.1474,0.0141,0.037599999999999995,0.0556,541560164.0,39864621.0
134,AxelarAXL,AxelarAXL,0.5932,0.025699999999999997,0.0791,0.024,536487465.0,12265452.0
135,Gigachad,(gigachadsolana.com)GIGA,0.05618,0.0192,0.109,0.26489999999999997,522597528.0,19829973.0
136,SynthetixSNX,SynthetixSNX,1.53,0.0154,0.04,0.028399999999999998,519499141.0,25258459.0
137,Mog,CoinMOG,0.051286,0.0126,0.1057,0.21030000000000001,502263195.0,27139947.0
138,TrueUSDTUSD,TrueUSDTUSD,0.9981,0.0004,0.0003,0.0002,494599024.0,55922730.0
139,aixbt by,VirtualsAIXBT,0.5761,0.0125,0.12619999999999998,0.1018,492281498.0,142557656.0
140,APENFTNFT,APENFTNFT,0.064921,0.005600000000000001,0.0354,0.0483,492096649.0,29514216.0
141,NotcoinNOT,NotcoinNOT,0.004794,0.024399999999999998,0.0377,0.0662,491196171.0,31832331.0
142,PayPal,USDPYUSD,0.9997,0.0001,0.0001,0.0001,486643320.0,17954740.0
143,GrassGRASS,GrassGRASS,1.95,0.011899999999999999,0.0758,0.11800000000000001,475359076.0,24501330.0
144,4.83%12.47%,4.83%12.47%,154.0,,,,2.44,
144,KavaKAVA,KavaKAVA,0.4368,0.0141,0.0426,0.0062,472946810.0,16927541.0
145,SuperVerseSUPER,SuperVerseSUPER,0.9329,0.0134,0.060899999999999996,0.1225,468185959.0,17376680.0
146,VeThor,TokenVTHO,0.005288,0.003,0.142,1.325,452323685.0,430466271.0
147,OasisROSE,OasisROSE,0.06275,0.0168,0.026099999999999998,0.06509999999999999,443284598.0,30205452.0
148,1inch,Network1INCH,0.3093,0.009399999999999999,0.0154,0.0629,432459504.0,25349090.0
149,Trust Wallet,TokenTWT,1.03,0.0085,0.0209,0.0728,430030103.0,15995021.0
150,SafeSAFE,SafeSAFE,0.8089,0.0167,0.0137,0.0179,426642417.0,34825218.0
151,LivepeerLPT,LivepeerLPT,11.33,0.0165,0.0593,0.0699,426099912.0,28605994.0
152,Terra,ClassicLUNC,7.677e-05,0.024,0.0621,0.0781,422590084.0,16301248.0
153,Theta,FuelTFUEL,0.06172,0.0045000000000000005,0.034300000000000004,0.003,421170355.0,6064828.0
154,Official Melania,MemeMELANIA,2.44,0.0204,0.1374,0.8040999999999999,420869388.0,116706813.0
155,KusamaKSM,KusamaKSM,25.95,0.024,0.0554,0.0169,416005248.0,12736462.0
156,BlurBLUR,BlurBLUR,0.1923,0.0175,0.0291,0.0067,416333205.0,27634815.0
157,CreditcoinCTC,CreditcoinCTC,0.9868,0.0036,0.0341,0.027200000000000002,411593975.0,11132319.0
158,cat in a dogs,worldMEW,0.004578,0.019799999999999998,0.0521,0.13849999999999998,406966485.0,25099890.0
159,DashDASH,DashDASH,33.56,0.0102,0.0516,0.0506,406893564.0,40895419.0
160,Nervos,NetworkCKB,0.008884,0.018600000000000002,0.0489,0.0393,406510141.0,23406952.0
161,ORDIORDI,ORDIORDI,19.32,0.015300000000000001,0.053399999999999996,0.0594,405731219.0,47447732.0
162,LayerZeroZRO,LayerZeroZRO,3.65,0.0271,0.08349999999999999,0.1017,401143614.0,37333026.0
163,io.netIO,io.netIO,2.95,0.021099999999999997,0.0725,0.033,398001010.0,99962865.0
164,Popcat,(SOL)POPCAT,0.4022,0.0013,0.0583,0.1637,394153827.0,40236135.0
165,AstarASTR,AstarASTR,0.05174,0.0052,0.0329,0.0256,387518498.0,10787980.0
166,0.52%23.63%,0.52%23.63%,449.0,,,,5.16,
166,TurboTURBO,TurboTURBO,0.005374,0.058600000000000006,0.08460000000000001,0.12539999999999998,370830772.0,63874340.0
166,5.04%10.57%,5.04%10.57%,7.0,,,,1.0,
