Moneda,Descripción,Ranking,Precio,Precio - Divisa,Cambio de precio % 24 horas,Capitalización de mercado,Capitalización de mercado - Divisa,Volumen en USD 24 horas,Volumen en USD 24 horas - Divisa,Oferta circulante,Categoría
LDO,Lido DAO,57,1.9216,USD,2.4206072939538443,1721630681.9196222,USD,728910818.36231,USD,895936033.47191,"Derivados, DeFi, Organización autónoma descentralizada (DAO)"
OP,Optimism,58,1.1977,USD,9.571742313323576,1618953888.2195,USD,940571184.3110911,USD,1351719035,Escalables
INJ,Injective,59,16.139,USD,5.316439161387239,1597291926.5819898,USD,424078400.2333641,USD,98970935.41,"Plataformas de contratos inteligentes (smart contracts), Gestión de datos e IA, Interoperabilidad, DeFi, Web3, Nivel 1"
STX,Stacks,60,1.05071,USD,3.3717267178578356,1588291575.7496092,USD,234587236.86883298,USD,1511636489.37348,"Plataformas de contratos inteligentes (smart contracts), NFT y coleccionables, DeFi, Metaverso, Web3"
BONK,Bonk,61,0.000020144,USD,6.734488422614309,1549495307.8389935,USD,601178781.011601,USD,76920934662380.55,Memes
KCS,KuCoin Token,62,12.823,USD,2.053322721846406,1572939473.779677,USD,6339286.25708675,USD,122665481.85133564,Mercado de valores centralizado
THETA,Theta Network,63,1.5675,USD,3.0346915937068024,1567500000,USD,112370348.13592972,USD,1000000000,"Plataformas de contratos inteligentes (smart contracts), Informática distribuida y almacenamiento, Gestión de datos e IA, Soluciones para empresas, Redes sociales, medios de comunicación y contenidos, Web3, Nivel 1, DePIN"
IMX,Immutable,64,0.89377,USD,3.0909510618651925,1558556414.142344,USD,125990816.7008838,USD,1743800322.3898141,"Herramientas de desarrollo, Videojuegos, NFT y coleccionables, Escalables, Mercado"
MOVE,Movement,65,0.66959,USD,9.54079212132119,1540057000,USD,307004971.5087501,USD,2300000000,Nivel 1
XDC,XDC Network,66,0.099529,USD,4.744264365396771,1486258530.9665108,USD,83335342.25831124,USD,14932919359.85,"Plataformas de contratos inteligentes (smart contracts), Soluciones para empresas, Nivel 1"
GRT,The Graph,67,0.14903,USD,5.0916784203102985,1423017650.8109305,USD,221963446.73156476,USD,9548531509.165474,"Gestión de datos e IA, Soluciones para empresas, Web3"
WLD,Worldcoin,68,1.4366,USD,7.560884226301985,1413595283.7294605,USD,896813911.0132629,USD,983986693.3937495,"Privacidad, Identidad"
